acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4095,4095,13508,-1498,-8,16794
4095,4095,13508,-1498,-8,16794
4095,4095,13509,-1456,6,16688
4095,4095,13509,-1456,6,16688
4095,4095,13510,-1444,-24,16646
4095,4095,13510,-1444,-24,16646
4095,4095,13511,-1452,-58,16732
4095,4095,13511,-1452,-58,16732
4095,4095,13512,-1462,-52,16588
4095,4095,13512,-1462,-52,16588
4095,4095,13513,-1486,-32,16664
4095,4095,13513,-1486,-32,16664
4095,4095,13514,-1504,-32,16712
4095,4095,13514,-1504,-32,16712
4095,4095,13515,-1472,-32,16694
4095,4095,13515,-1472,-32,16694
4095,4095,13516,-1472,-20,16724
4095,4095,13516,-1472,-20,16724
4095,4095,13517,-1426,12,16808
4095,4095,13517,-1426,12,16808
4095,4095,13518,-1470,-38,16726
4095,4095,13518,-1470,-38,16726
4095,4095,13519,-1510,-20,16718
4095,4095,13519,-1510,-20,16718
4095,4095,13520,-1492,0,16744
4095,4095,13520,-1492,0,16744
4095,4095,13521,-1422,10,16644
4095,4095,13521,-1422,10,16644
4095,4095,13522,-1446,6,16684
4095,4095,13522,-1446,6,16684
4095,4095,13523,-1448,-40,16756
4095,4095,13523,-1448,-40,16756
4095,4095,13524,-1458,-32,16718
4095,4095,13524,-1458,-32,16718
4095,4095,13525,-1498,-6,16766
4095,4095,13525,-1498,-6,16766
4095,4095,13526,-1494,-50,16802
4095,4095,13526,-1494,-50,16802
4095,4095,13527,-1460,-38,16670
4095,4095,13527,-1460,-38,16670
4095,4095,13528,-1450,-14,16744
4095,4095,13528,-1450,-14,16744
4095,4095,13529,-1396,-12,16708
4095,4095,13529,-1396,-12,16708
4095,4095,13530,-1472,-14,16632
4095,4095,13530,-1472,-14,16632
4095,4095,13531,-1510,-8,16696
4095,4095,13531,-1510,-8,16696
4095,4095,13532,-1500,-44,16710
4095,4095,13532,-1500,-44,16710
4095,4095,13533,-1478,-38,16688
4095,4095,13533,-1478,-38,16688
4095,4095,13534,-1440,-18,16760
4095,4095,13534,-1440,-18,16760
4095,4095,13535,-1480,-42,16766
4095,4095,13535,-1480,-42,16766
4095,4095,13536,-1440,-32,16648
4095,4095,13536,-1440,-32,16648
4095,4095,13537,-1478,-4,16712
4095,4095,13537,-1478,-4,16712
4095,4095,13538,-1504,-30,16676
4095,4095,13538,-1504,-30,16676
4095,4095,13539,-1444,-20,16648
4095,4095,13539,-1444,-20,16648
4095,4095,13540,-1452,-68,16698
4095,4095,13540,-1452,-68,16698
4095,4095,13541,-1474,8,16742
4095,4095,13541,-1474,8,16742
4095,4095,13542,-1448,-24,16710
4095,4095,13542,-1448,-24,16710
4095,4095,13543,-1488,8,16726
4095,4095,13543,-1488,8,16726
4095,4095,13544,-1494,-6,16762
4095,4095,13544,-1494,-6,16762
4095,4095,13545,-1422,8,16650
4095,4095,13545,-1422,8,16650
4095,4095,13546,-1478,0,16730
4095,4095,13546,-1478,0,16730
4095,4095,13547,-1478,-74,16664
4095,4095,13547,-1478,-74,16664
4095,4095,13548,-1492,-20,16620
4095,4095,13548,-1492,-20,16620
4095,4095,13549,-1462,-34,16696
4095,4095,13549,-1462,-34,16696
4095,4095,13550,-1440,-20,16764
4095,4095,13550,-1440,-20,16764
4095,4095,13551,-1468,12,16702
4095,4095,13551,-1468,12,16702
4095,4095,13552,-1490,-18,16766
4095,4095,13552,-1490,-18,16766
4095,4095,13553,-1456,-36,16718
4095,4095,13553,-1456,-36,16718
4095,4095,13554,-1474,-12,16634
4095,4095,13554,-1474,-12,16634
4095,4095,13555,-1494,-6,16754
4095,4095,13555,-1494,-6,16754
4095,4095,13556,-1466,-42,16704
4095,4095,13556,-1466,-42,16704
4095,4095,13557,-1476,-42,16636
4095,4095,13557,-1476,-42,16636
4095,4095,13558,-1538,6,16656
4095,4095,13558,-1538,6,16656
4095,4095,13559,-1478,-28,16704
4095,4095,13559,-1478,-28,16704
4095,4095,13560,-1434,-38,16688
4095,4095,13560,-1434,-38,16688
